x,y,label
"0.29286, 0.89480",,1
"0.25699, 0.73573",,1
"0.14793, 0.24949",,1
"0.15639, 0.28188",,1
"0.11653, 0.11280",,1
"0.11529, 0.091873",,1
"0.28617, 0.86770",,1
"0.25518, 0.70198",,1
"0.23670, 0.61741",,1
"0.22840, 0.58319",,1
"0.20235, 0.46511",,1
"0.13467, 0.16495",,1
"0.16238, 0.30842",,1
"0.28051, 0.80401",,1
"0.14529, 0.19381",,1
"0.18659, 0.36949",,1
"0.15471, 0.22552",,1
"0.31208, 0.91829",,1
"0.25717, 0.66962",,1
"0.19880, 0.40820",,1
"0.32258, 0.94684",,1
"0.30212, 0.85608",,1
"0.22793, 0.52451",,1
"0.18513, 0.33013",,1
"0.13898, 0.12191",,1
"0.22301, 0.48985",,1
"0.12949, 0.075080",,1
"0.30060, 0.82880",,1
"0.29023, 0.78281",,1
"0.21338, 0.44196",,1
"0.31469, 0.88097",,1
"0.28558, 0.75445",,1
"0.24101, 0.55423",,1
"0.28118, 0.72208",,1
"0.18516, 0.29694",,1
"0.17676, 0.26416",,1
"0.15191, 0.14881",,1
"0.26535, 0.64157",,1
"0.25621, 0.59590",,1
"0.14432, 0.099682",,1
"0.16362, 0.17499",,1
"0.14612, 0.12311",,1
"0.28061, 0.68866",,1
"0.17108, 0.20291",,1
"0.33142, 0.90373",,1
"0.31204, 0.80749",,1
"0.34812, 0.96236",,1
"0.18368, 0.23311",,1
"0.34325, 0.93046",,1
"0.27238, 0.64187",,1
"0.21297, 0.35268",,1
"0.14794, 0.063871",,1
"0.32579, 0.84789",,1
"0.23936, 0.46456",,1
"0.22925, 0.42231",,1
"0.25259, 0.50781",,1
"0.17801, 0.20277",,1
"0.31489, 0.77897",,1
"0.27844, 0.61987",,1
"0.26792, 0.56550",,1
"0.16839, 0.12413",,1
"0.33832, 0.87516",,1
"0.29023, 0.66130",,1
"0.31064, 0.74723",,1
"0.30385, 0.71456",,1
"0.21563, 0.32332",,1
"0.20878, 0.28780",,1
"0.16439, 0.093511",,1
"0.20313, 0.26018",,1
"0.26690, 0.53785",,1
"0.18136, 0.15589",,1
"0.15487, 0.064149",,1
"0.33261, 0.84725",,1
"0.36424, 0.94895",,1
"0.28473, 0.59118",,1
"0.19274, 0.18322",,1
"0.37260, 0.97314",,1
"0.35645, 0.90411",,1
"0.30802, 0.68676",,1
"0.16404, 0.048207",,1
"0.34114, 0.82592",,1
"0.30013, 0.64145",,1
"0.20319, 0.21415",,1
"0.21577, 0.28794",,1
"0.25547, 0.43570",,1
"0.24113, 0.36953",,1
"0.35387, 0.85408",,1
"0.34101, 0.79705",,1
"0.17918, 0.074204",,1
"0.25465, 0.40373",,1
"0.18832, 0.10960",,1
"0.37353, 0.92582",,1
"0.33788, 0.76771",,1
"0.32926, 0.73205",,1
"0.27883, 0.50586",,1
"0.23463, 0.30985",,1
"0.21932, 0.24194",,1
"0.19656, 0.13843",,1
"0.17673, 0.038892",,1
"0.36535, 0.87926",,1
"0.24374, 0.34251",,1
"0.23177, 0.27654",,1
"0.24807, 0.36944",,1
"0.30973, 0.61717",,1
"0.39419, 0.98142",,1
"0.21044, 0.16654",,1
"0.33299, 0.70484",,1
"0.39094, 0.95158",,1
"0.32742, 0.66988",,1
"0.38045, 0.92562",,1
"0.28586, 0.50616",,1
"0.22627, 0.24186",,1
"0.29738, 0.52895",,1
"0.22266, 0.19500",,1
"0.18504, 0.034728",,1
"0.37061, 0.84084",,1
"0.36338, 0.81134",,1
"0.19422, 0.058573",,1
"0.38674, 0.90466",,1
"0.28491, 0.45307",,1
"0.20377, 0.093225",,1
"0.40569, 0.98956",,1
"0.33138, 0.64626",,1
"0.28052, 0.42070",,1
"0.27217, 0.38628",,1
"0.31935, 0.58777",,1
"0.38470, 0.86729",,1
"0.29993, 0.49137",,1
"0.21741, 0.12797",,1
"0.36037, 0.75684",,1
"0.24059, 0.22305",,1
"0.41447, 0.99416",,1
"0.35660, 0.72723",,1
"0.27191, 0.35165",,1
"0.40399, 0.93227",,1
"0.37121, 0.78688",,1
"0.26604, 0.32048",,1
"0.25128, 0.25504",,1
"0.41656, 0.96743",,1
"0.33826, 0.64590",,1
"0.28765, 0.42145",,1
"0.26225, 0.28822",,1
"0.23199, 0.15148",,1
"0.20669, 0.041837",,1
"0.35523, 0.68517",,1
"0.34210, 0.62177",,1
"0.24175, 0.17931",,1
"0.39036, 0.82553",,1
"0.22103, 0.074588",,1
"0.36360, 0.72743",,1
"0.27870, 0.35090",,1
"0.22992, 0.10887",,1
"0.43285, 0.99850",,1
"0.40929, 0.89659",,1
"0.33327, 0.55691",,1
"0.32525, 0.52414",,1
"0.29848, 0.40260",,1
"0.31599, 0.47253",,1
"0.30893, 0.43609",,1
"0.36054, 0.65980",,1
"0.40573, 0.85290",,1
"0.37563, 0.71130",,1
"0.26228, 0.20862",,1
"0.38941, 0.76728",,1
"0.34947, 0.58759",,1
"0.26982, 0.23692",,1
"0.43189, 0.94795",,1
"0.39724, 0.79683",,1
"0.27957, 0.27503",,1
"0.22394, 0.025718",,1
"0.33137, 0.49699",,1
"0.42796, 0.92023",,1
"0.29917, 0.34136",,1
"0.29166, 0.30803",,1
"0.25225, 0.13329",,1
"0.23541, 0.056002",,1
"0.39139, 0.74002",,1
"0.36827, 0.63452",,1
"0.26201, 0.16627",,1
"0.44667, 0.97746",,1
"0.45567, 1.0122",,1
"0.24765, 0.089711",,1
"0.41700, 0.83044",,1
"0.42939, 0.88027",,1
"0.38555, 0.68327",,1
"0.33599, 0.45574",,1
"0.23848, 0.013023",,1
"0.37337, 0.60868",,1
"0.33105, 0.42096",,1
"0.37532, 0.63531",,1
"0.35481, 0.51864",,1
"0.36358, 0.55495",,1
"0.28172, 0.19191",,1
"0.29117, 0.22613",,1
"0.45670, 0.95765",,1
"0.45100, 0.93019",,1
"0.41467, 0.77123",,1
"0.25095, 0.042602",,1
"0.33025, 0.38913",,1
"0.26790, 0.11262",,1
"0.44859, 0.90922",,1
"0.40429, 0.71492",,1
"0.35268, 0.48346",,1
"0.30946, 0.29179",,1
"0.30256, 0.26118",,1
"0.26076, 0.070685",,1
"0.43931, 0.85735",,1
"0.42784, 0.80651",,1
"0.47207, 0.99750",,1
"0.27839, 0.14116",,1
"0.39780, 0.65781",,1
"0.32164, 0.32009",,1
"0.38138, 0.58243",,1
"0.32962, 0.35290",,1
"0.42087, 0.74471",,1
