x,y,label
1.074,0.1626,vdj_nextgem_hs_pbmc116
0.9267,0.174,vdj_nextgem_hs_pbmc117
1.112,0.1607,vdj_nextgem_hs_pbmc118
0.4983,0.1958,vdj_nextgem_hs_pbmc119
0.6452,0.1894,vdj_nextgem_hs_pbmc120
0.956,0.1669,vdj_nextgem_hs_pbmc121
0.1916,0.2223,vdj_nextgem_hs_pbmc122
0.2435,0.217,vdj_nextgem_hs_pbmc123
0.2839,0.2075,vdj_nextgem_hs_pbmc124
0.3296,0.2052,vdj_nextgem_hs_pbmc125
0.402,0.2132,vdj_nextgem_hs_pbmc126
0.03229,0.2247,vdj_nextgem_hs_pbmc127
1.021,0.1837,vdj_nextgem_hs_pbmc128
0.4437,0.2116,vdj_nextgem_hs_pbmc129
0.1456,0.2278,vdj_nextgem_hs_pbmc130
0.8235,0.196,vdj_nextgem_hs_pbmc131
0.7516,0.2148,vdj_nextgem_hs_pbmc132
0.8575,0.2094,vdj_nextgem_hs_pbmc133
1.133,0.1946,vdj_nextgem_hs_pbmc134
0.06916,0.25,vdj_nextgem_hs_pbmc135
0.4796,0.2294,vdj_nextgem_hs_pbmc136
0.8774,0.2014,vdj_nextgem_hs_pbmc137
0.6174,0.2272,vdj_nextgem_hs_pbmc138
1.084,0.2017,vdj_nextgem_hs_pbmc139
0.1755,0.2558,vdj_nextgem_hs_pbmc140
0.6579,0.2262,vdj_nextgem_hs_pbmc141
0.009812,0.2668,vdj_nextgem_hs_pbmc142
0.9615,0.2143,vdj_nextgem_hs_pbmc143
0.9991,0.2129,vdj_nextgem_hs_pbmc144
0.2536,0.2615,vdj_nextgem_hs_pbmc145
0.2974,0.2595,vdj_nextgem_hs_pbmc146
0.3718,0.263,vdj_nextgem_hs_pbmc147
0.7522,0.2472,vdj_nextgem_hs_pbmc148
1.13,0.2314,vdj_nextgem_hs_pbmc149
0.07557,0.2704,vdj_nextgem_hs_pbmc150
0.7974,0.2459,vdj_nextgem_hs_pbmc151
0.878,0.2475,vdj_nextgem_hs_pbmc152
1.082,0.2254,vdj_nextgem_hs_pbmc153
0.5542,0.2574,vdj_nextgem_hs_pbmc154
0.1916,0.2767,vdj_nextgem_hs_pbmc155
